timestamp,TIMESTAMP,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_P,GYRO_R,GYRO_Y,GSR_RES,GSR_CON,PPG_RAW,HEART_RATE,HRV,TEMP
20645.52705,1422090.375,-4.557749748,7.997606277,-0.952722907,-0.931297719,-0.320610672,-2.076335907,284.4788208,3021,1221.978027,54.46808624,1101.5625,0
20645.5295,1422098.25,-4.564931393,8.035906792,-0.959904253,-1.374045849,-0.4427481,-2.167938948,284.7218323,3019,1221.978027,54.46808624,1101.5625,0
20645.5456,1422106,-4.536205769,8.055056572,-0.938360274,-0.916030526,-1.129770994,-0.854961812,284.7218323,3019,1221.245361,54.46808624,1101.5625,0
20645.54654,1422113.875,-4.519449234,8.088569641,-0.94554162,-0.702290058,-1.328244328,-0.320610672,284.7218323,3019,1217.582397,54.46808624,1101.5625,0
20645.54759,1422121.625,-4.596050262,8.143626213,-0.957510471,-0.19847329,-1.038167953,-0.916030526,284.7218323,3019,1210.25647,54.46808624,1101.5625,0
20645.56661,1422129.5,-4.576900005,8.220227242,-0.955116689,-0.167938933,-1.725190878,-1.877862573,284.8434753,3018,1204.39563,54.46808624,1101.5625,0
20645.5676,1422137.25,-4.550568581,8.222620964,-0.943147838,-0.030534351,-2.244274855,-2.274809122,284.7218323,3019,1200.732544,54.46808624,1101.5625,0
20645.5784,1422145.125,-4.586475372,8.153202057,-0.952722907,-0.427480906,-1.603053451,-1.938931346,284.8434753,3018,1199.267456,54.46808624,1101.5625,0
20645.58145,1422152.875,-4.596050262,8.06223774,-0.923997581,-0.412213743,-1.297709942,-2.549618244,284.8434753,3018,1199.267456,54.46808624,1101.5625,0
20645.59423,1422160.75,-4.557749748,8.040694237,-0.983842015,-0.24427481,-1.358778596,-2.854961872,284.9652405,3017,1202.93042,54.46808624,1101.5625,0
20645.6024,1422168.5,-4.560143471,8.004787445,-0.98862958,-0.167938933,-1.267175555,-2.458015203,284.9652405,3017,1207.32605,54.46808624,1101.5625,0
20645.60898,1422176.375,-4.586475372,7.964093208,-0.935966492,-0.687022924,-0.656488538,-2.305343628,285.0870972,3016,1210.989014,54.46808624,1101.5625,0
20645.63158,1422184.125,-4.600837708,8.002393723,-0.923997581,-1.343511462,-0.427480906,-1.816793919,284.9652405,3017,1216.849854,54.46808624,1101.5625,0
20645.6349,1422192,-4.579293728,8.055056572,-0.959904253,-1.06870234,-0.106870227,-1.770992398,284.9652405,3017,1221.245361,54.46808624,1101.5625,0
20645.63493,1422199.75,-4.562537193,8.150808334,-0.938360274,-0.732824445,-0.167938933,-2.167938948,285.0870972,3016,1225.640991,54.46808624,1101.5625,0
20645.63838,1422207.625,-4.517055511,8.141232491,-0.931178927,-0.610687017,-0.656488538,-1.404580116,285.2090454,3015,1223.443237,54.46808624,1101.5625,0
20645.64322,1422215.375,-4.529024601,8.172351837,-0.947935343,-0.412213743,-1.282442689,-0.503816783,284.9652405,3017,1218.315063,54.46808624,1101.5625,0
20645.6521,1422223.25,-4.562537193,8.177139282,-0.950329125,0.106870227,-1.435114503,-1.06870234,285.0870972,3016,1213.919434,54.46808624,1101.5625,0
